epoch,test/accuracy_mean,test/accuracy_0,test/accuracy_1,test/accuracy,test/accuracytop5,general/checkpoint_saved
163,96.84%,96.87%,96.82%,97.22%,99.97%,0.0
164,96.89%,96.93%,96.84%,97.23%,99.97%,0.0
165,96.86%,96.88%,96.83%,97.29%,99.96%,0.0
166,96.76%,96.76%,96.76%,97.29%,99.96%,0.0
167,96.92%,96.87%,96.97%,97.22%,99.96%,0.0
168,96.90%,96.99%,96.81%,97.36%,99.94%,0.0
169,96.89%,96.85%,96.93%,97.18%,99.97%,0.0
170,96.80%,96.76%,96.84%,97.17%,99.97%,0.0
171,96.82%,96.87%,96.77%,97.23%,99.95%,0.0
172,96.80%,96.78%,96.81%,97.23%,99.95%,0.0
173,96.91%,96.92%,96.91%,97.34%,99.96%,0.0
174,96.83%,96.91%,96.75%,97.23%,99.94%,0.0
175,96.91%,96.97%,96.84%,97.22%,99.95%,0.0
176,96.83%,96.91%,96.75%,97.16%,99.97%,0.0
177,96.84%,96.84%,96.83%,97.24%,99.94%,0.0
178,96.92%,96.97%,96.87%,97.29%,99.96%,0.0
179,96.84%,96.94%,96.75%,97.36%,99.98%,0.0
180,96.83%,96.86%,96.79%,97.25%,99.96%,0.0
181,96.84%,96.91%,96.76%,97.27%,99.96%,0.0
182,96.83%,96.92%,96.73%,97.23%,99.97%,0.0
183,96.91%,96.94%,96.89%,97.33%,99.95%,0.0
184,96.84%,96.94%,96.73%,97.25%,99.95%,0.0
185,96.83%,96.83%,96.82%,97.19%,99.95%,0.0
186,96.84%,96.82%,96.85%,97.26%,99.96%,0.0
187,96.87%,96.90%,96.84%,97.26%,99.97%,0.0
188,96.83%,96.93%,96.73%,97.29%,99.96%,0.0
189,96.94%,97.03%,96.85%,97.36%,99.96%,0.0
190,96.92%,96.96%,96.88%,97.28%,99.96%,0.0
191,96.94%,96.97%,96.91%,97.39%,99.95%,1.0
192,96.89%,96.96%,96.83%,97.38%,99.97%,0.0
193,96.89%,96.97%,96.80%,97.23%,99.96%,0.0
194,96.98%,97.04%,96.92%,97.41%,99.96%,1.0
195,96.98%,96.98%,96.99%,97.27%,99.96%,0.0
196,96.93%,96.95%,96.91%,97.30%,99.96%,0.0
197,96.87%,96.88%,96.86%,97.25%,99.96%,0.0
198,96.94%,96.94%,96.93%,97.29%,99.96%,0.0
199,96.95%,96.98%,96.93%,97.23%,99.97%,0.0
200,96.94%,96.97%,96.92%,97.27%,99.97%,0.0
