epoch,test/accuracy,test/accuracytop5,general/checkpoint_saved
392,51.32%,75.87%,0.0
393,49.63%,74.07%,0.0
394,48.73%,74.13%,0.0
395,49.28%,74.40%,0.0
396,51.68%,77.26%,0.0
397,50.77%,75.92%,0.0
398,51.78%,76.90%,0.0
399,51.53%,75.93%,0.0
400,51.51%,76.02%,0.0
401,50.26%,76.43%,0.0
402,51.31%,76.44%,0.0
403,50.00%,75.39%,0.0
404,47.26%,72.79%,0.0
405,50.67%,76.48%,0.0
406,49.38%,75.07%,0.0
407,50.57%,75.94%,0.0
408,50.50%,75.48%,0.0
409,51.44%,76.95%,0.0
410,49.41%,74.79%,0.0
411,50.60%,75.49%,0.0
412,49.13%,74.47%,0.0
413,50.00%,75.82%,0.0
414,50.17%,75.14%,0.0
415,50.63%,76.08%,0.0
416,50.49%,75.90%,0.0
417,49.40%,75.98%,0.0
418,49.36%,75.75%,0.0
419,51.19%,76.24%,0.0
420,51.13%,75.74%,0.0
421,50.46%,75.69%,0.0
422,49.23%,75.36%,0.0
423,48.55%,74.38%,0.0
424,45.78%,71.40%,0.0
425,50.99%,75.88%,0.0
426,50.42%,75.26%,0.0
427,52.78%,76.61%,0.0
428,50.40%,74.97%,0.0
429,50.88%,76.26%,0.0
430,48.99%,74.55%,0.0
431,48.63%,73.93%,0.0
432,50.46%,75.31%,0.0
433,49.71%,75.10%,0.0
434,48.62%,74.30%,0.0
435,51.45%,76.19%,0.0
436,49.80%,75.04%,0.0
437,51.23%,76.17%,0.0
438,51.39%,76.22%,0.0
439,52.00%,76.28%,0.0
440,49.48%,74.79%,0.0
441,48.69%,73.51%,0.0
442,51.63%,76.77%,0.0
443,51.28%,76.15%,0.0
444,50.85%,75.90%,0.0
445,51.71%,76.92%,0.0
446,48.32%,73.04%,0.0
447,50.15%,75.24%,0.0
448,51.74%,76.75%,0.0
449,48.85%,74.06%,0.0
450,49.47%,74.49%,0.0
451,50.06%,75.17%,0.0
452,51.28%,76.93%,0.0
453,52.11%,76.53%,0.0
454,49.11%,74.41%,0.0
455,50.61%,75.80%,0.0
456,49.25%,75.58%,0.0
457,50.31%,75.87%,0.0
458,51.51%,76.00%,0.0
459,51.18%,76.43%,0.0
460,48.66%,74.14%,0.0
461,51.09%,76.07%,0.0
462,50.08%,74.91%,0.0
463,49.55%,75.19%,0.0
464,49.26%,74.49%,0.0
465,48.70%,74.58%,0.0
466,49.65%,75.18%,0.0
467,52.06%,76.64%,0.0
468,49.86%,75.00%,0.0
469,51.05%,75.91%,0.0
470,51.03%,76.24%,0.0
471,51.29%,75.91%,0.0
472,48.92%,74.27%,0.0
473,48.26%,73.57%,0.0
474,50.21%,76.09%,0.0
475,48.74%,74.63%,0.0
476,52.71%,77.01%,0.0
477,50.60%,76.05%,0.0
478,48.71%,73.66%,0.0
479,49.98%,75.20%,0.0
480,50.52%,76.49%,0.0
481,49.96%,77.13%,0.0
482,48.95%,74.63%,0.0
483,49.08%,73.94%,0.0
484,51.67%,76.72%,0.0
485,49.92%,75.03%,0.0
486,51.30%,75.66%,0.0
487,50.99%,75.75%,0.0
488,48.88%,73.91%,0.0
489,50.14%,75.62%,0.0
490,49.41%,74.75%,0.0
491,49.71%,75.25%,0.0
492,49.11%,74.94%,0.0
493,48.06%,73.93%,0.0
494,48.64%,74.81%,0.0
495,52.17%,77.19%,0.0
496,49.35%,74.07%,0.0
497,49.55%,74.80%,0.0
498,50.07%,74.64%,0.0
499,49.17%,74.85%,0.0
500,48.46%,73.85%,0.0
501,50.15%,75.58%,0.0
502,51.01%,76.24%,0.0
503,50.65%,74.81%,0.0
504,49.24%,75.44%,0.0
505,49.67%,74.88%,0.0
506,48.86%,75.00%,0.0
507,50.44%,75.82%,0.0
508,50.62%,75.76%,0.0
509,51.69%,76.73%,0.0
510,49.61%,75.19%,0.0
511,49.67%,73.92%,0.0
512,49.70%,74.54%,0.0
513,50.52%,75.98%,0.0
514,49.74%,74.56%,0.0
515,49.39%,74.85%,0.0
516,48.38%,73.67%,0.0
517,51.26%,76.21%,0.0
518,51.99%,76.68%,0.0
519,50.64%,76.13%,0.0
520,49.17%,75.16%,0.0
521,50.83%,75.94%,0.0
522,50.36%,74.99%,0.0
523,49.20%,75.13%,0.0
524,50.62%,75.60%,0.0
525,50.64%,76.04%,0.0
526,50.24%,75.62%,0.0
527,49.46%,74.89%,0.0
528,50.01%,75.86%,0.0
529,51.38%,76.70%,0.0
530,51.24%,76.63%,0.0
531,47.85%,73.84%,0.0
532,50.68%,75.13%,0.0
533,48.51%,74.61%,0.0
534,49.43%,74.82%,0.0
535,51.93%,76.00%,0.0
536,47.83%,73.30%,0.0
537,50.02%,75.18%,0.0
538,48.30%,73.24%,0.0
539,49.63%,74.10%,0.0
540,50.37%,75.15%,0.0
541,50.13%,74.49%,0.0
542,48.71%,73.94%,0.0
543,52.18%,76.45%,0.0
544,48.07%,72.32%,0.0
545,50.73%,75.72%,0.0
546,51.21%,76.42%,0.0
547,50.92%,76.02%,0.0
548,51.18%,75.55%,0.0
549,48.06%,73.79%,0.0
550,49.77%,75.41%,0.0
551,51.58%,76.65%,0.0
552,49.48%,74.37%,0.0
553,47.79%,73.21%,0.0
554,49.03%,74.85%,0.0
555,49.15%,74.37%,0.0
556,51.52%,75.92%,0.0
557,49.90%,75.14%,0.0
558,48.99%,74.37%,0.0
559,50.40%,75.80%,0.0
560,47.81%,73.78%,0.0
561,51.27%,76.22%,0.0
562,50.69%,76.25%,0.0
563,51.49%,76.72%,0.0
564,52.01%,77.02%,0.0
565,51.42%,76.05%,0.0
566,48.59%,74.24%,0.0
567,51.66%,76.61%,0.0
568,50.26%,75.75%,0.0
569,48.54%,73.49%,0.0
570,50.03%,75.12%,0.0
571,47.79%,73.35%,0.0
572,49.37%,75.03%,0.0
573,51.15%,75.86%,0.0
574,51.17%,76.05%,0.0
575,51.74%,76.65%,0.0
576,49.82%,74.62%,0.0
577,50.03%,74.88%,0.0
578,48.46%,74.40%,0.0
579,50.29%,74.58%,0.0
580,50.98%,76.03%,0.0
581,45.58%,71.22%,0.0
582,51.02%,75.30%,0.0
583,49.12%,73.86%,0.0
584,51.25%,75.79%,0.0
585,50.33%,75.09%,0.0
586,49.58%,75.07%,0.0
587,50.75%,75.46%,0.0
588,50.96%,75.92%,0.0
589,47.35%,72.65%,0.0
590,49.42%,75.46%,0.0
591,50.35%,75.43%,0.0
592,50.42%,75.39%,0.0
593,51.30%,75.54%,0.0
594,49.97%,75.61%,0.0
595,47.76%,73.44%,0.0
596,49.72%,74.53%,0.0
597,49.85%,74.68%,0.0
598,50.08%,75.40%,0.0
599,49.28%,74.76%,0.0
600,64.47%,84.72%,1.0
601,64.40%,84.97%,0.0
602,64.06%,84.98%,0.0
603,64.52%,84.62%,1.0
604,64.19%,84.38%,0.0
605,64.03%,84.35%,0.0
606,63.58%,84.09%,0.0
607,63.52%,83.84%,0.0
608,63.55%,84.07%,0.0
609,63.54%,84.22%,0.0
610,63.87%,84.03%,0.0
611,63.72%,83.91%,0.0
612,63.31%,83.72%,0.0
613,63.68%,83.72%,0.0
614,63.40%,83.79%,0.0
615,63.50%,83.64%,0.0
616,63.30%,83.87%,0.0
617,63.83%,83.67%,0.0
618,63.39%,83.61%,0.0
619,63.54%,83.75%,0.0
620,63.87%,83.87%,0.0
621,62.91%,83.29%,0.0
622,62.60%,83.38%,0.0
623,63.18%,83.58%,0.0
624,62.99%,83.09%,0.0
625,62.64%,82.84%,0.0
626,62.69%,82.86%,0.0
627,62.39%,82.95%,0.0
628,62.37%,82.99%,0.0
629,61.74%,82.67%,0.0
630,61.56%,82.48%,0.0
631,61.00%,81.77%,0.0
632,60.89%,82.07%,0.0
633,60.48%,81.73%,0.0
634,60.45%,81.41%,0.0
635,60.38%,81.77%,0.0
636,59.63%,81.59%,0.0
637,60.00%,81.82%,0.0
638,60.99%,82.33%,0.0
639,60.07%,81.36%,0.0
640,60.09%,81.32%,0.0
641,58.20%,80.38%,0.0
642,60.13%,81.11%,0.0
643,59.66%,81.45%,0.0
644,59.77%,81.51%,0.0
645,59.61%,81.30%,0.0
646,59.63%,81.29%,0.0
647,59.55%,81.15%,0.0
648,59.09%,81.38%,0.0
649,59.31%,81.26%,0.0
650,59.99%,80.98%,0.0
651,58.93%,80.50%,0.0
652,59.85%,81.05%,0.0
653,59.63%,81.27%,0.0
654,59.37%,80.85%,0.0
655,59.40%,81.36%,0.0
656,59.75%,81.22%,0.0
657,58.71%,80.02%,0.0
658,58.17%,80.30%,0.0
659,59.74%,81.13%,0.0
660,60.18%,81.58%,0.0
661,58.08%,79.90%,0.0
662,58.96%,80.64%,0.0
663,59.71%,80.70%,0.0
664,59.29%,80.74%,0.0
665,59.34%,80.66%,0.0
666,59.38%,80.44%,0.0
667,59.15%,80.87%,0.0
668,59.21%,81.07%,0.0
669,58.80%,80.51%,0.0
670,58.51%,80.36%,0.0
671,58.14%,80.11%,0.0
672,57.82%,80.00%,0.0
673,58.63%,80.24%,0.0
674,58.42%,80.19%,0.0
675,58.78%,80.24%,0.0
676,58.54%,79.81%,0.0
677,59.62%,80.85%,0.0
678,58.57%,80.13%,0.0
679,58.86%,80.23%,0.0
680,58.74%,79.96%,0.0
681,58.92%,80.64%,0.0
682,58.61%,80.24%,0.0
683,58.46%,80.49%,0.0
684,58.16%,79.80%,0.0
685,59.65%,80.71%,0.0
686,59.33%,80.43%,0.0
687,58.54%,80.26%,0.0
688,58.84%,80.19%,0.0
689,58.08%,79.58%,0.0
690,58.38%,79.52%,0.0
691,57.60%,79.99%,0.0
692,59.04%,80.50%,0.0
693,58.75%,80.47%,0.0
694,58.95%,80.08%,0.0
695,58.38%,79.98%,0.0
696,59.39%,80.45%,0.0
697,58.36%,80.40%,0.0
698,59.63%,80.38%,0.0
699,58.53%,79.88%,0.0
700,59.40%,80.41%,0.0
701,58.25%,79.92%,0.0
702,58.55%,80.23%,0.0
703,59.56%,80.59%,0.0
704,59.03%,80.31%,0.0
705,57.73%,79.22%,0.0
706,58.41%,79.67%,0.0
707,58.61%,79.96%,0.0
708,58.60%,79.80%,0.0
709,58.19%,79.64%,0.0
710,58.82%,79.64%,0.0
711,59.09%,80.08%,0.0
712,58.53%,79.85%,0.0
713,57.54%,79.23%,0.0
714,57.92%,79.38%,0.0
715,59.13%,80.64%,0.0
716,58.37%,80.21%,0.0
717,59.28%,80.59%,0.0
718,58.73%,80.19%,0.0
719,58.35%,79.87%,0.0
720,58.49%,79.99%,0.0
721,57.43%,79.49%,0.0
722,58.03%,79.53%,0.0
723,58.51%,80.33%,0.0
724,58.05%,79.43%,0.0
725,57.54%,79.54%,0.0
726,58.35%,80.04%,0.0
727,58.99%,80.69%,0.0
728,59.11%,80.49%,0.0
729,57.73%,80.00%,0.0
730,57.56%,79.46%,0.0
731,58.68%,80.10%,0.0
732,58.16%,80.19%,0.0
733,57.66%,78.67%,0.0
734,57.51%,79.61%,0.0
735,58.09%,80.21%,0.0
736,57.65%,79.44%,0.0
737,58.36%,79.95%,0.0
738,57.58%,79.68%,0.0
739,57.96%,79.35%,0.0
740,58.95%,80.20%,0.0
741,58.03%,79.33%,0.0
742,59.59%,80.24%,0.0
743,58.44%,80.30%,0.0
744,58.16%,79.64%,0.0
745,58.39%,79.73%,0.0
746,57.67%,79.63%,0.0
747,58.02%,79.75%,0.0
748,57.24%,79.14%,0.0
749,58.09%,79.96%,0.0
750,56.79%,79.39%,0.0
751,57.25%,79.25%,0.0
752,57.95%,79.56%,0.0
753,57.71%,79.35%,0.0
754,57.99%,79.54%,0.0
755,58.58%,80.34%,0.0
756,57.98%,79.84%,0.0
757,57.85%,79.27%,0.0
758,58.18%,80.02%,0.0
759,58.34%,79.83%,0.0
760,58.44%,80.29%,0.0
761,58.25%,79.68%,0.0
762,58.71%,80.04%,0.0
763,57.61%,79.46%,0.0
764,58.14%,80.34%,0.0
765,58.26%,79.65%,0.0
766,57.75%,79.60%,0.0
767,56.87%,78.83%,0.0
768,57.52%,79.27%,0.0
769,57.66%,79.38%,0.0
770,58.25%,79.15%,0.0
771,56.96%,79.69%,0.0
772,57.69%,79.99%,0.0
773,57.08%,78.69%,0.0
774,57.69%,79.66%,0.0
775,58.64%,80.19%,0.0
776,57.39%,79.18%,0.0
777,57.56%,79.54%,0.0
778,57.20%,78.65%,0.0
779,58.25%,79.75%,0.0
780,58.08%,79.37%,0.0
781,57.73%,79.84%,0.0
782,56.59%,78.53%,0.0
783,57.60%,79.07%,0.0
784,57.97%,79.21%,0.0
785,57.53%,79.23%,0.0
786,58.91%,79.99%,0.0
787,56.46%,79.36%,0.0
788,59.18%,80.11%,0.0
789,57.99%,79.64%,0.0
790,58.53%,80.05%,0.0
791,58.40%,79.65%,0.0
792,57.47%,79.11%,0.0
793,57.18%,79.14%,0.0
794,58.22%,79.63%,0.0
795,56.61%,78.80%,0.0
796,58.18%,79.51%,0.0
797,58.01%,80.16%,0.0
798,58.19%,80.11%,0.0
799,57.86%,80.02%,0.0
800,58.26%,80.47%,0.0
801,57.58%,79.24%,0.0
802,58.27%,80.30%,0.0
803,58.31%,78.97%,0.0
804,58.45%,79.81%,0.0
805,58.81%,79.51%,0.0
806,57.46%,79.35%,0.0
807,58.16%,79.39%,0.0
808,57.26%,79.11%,0.0
809,58.12%,79.58%,0.0
810,57.47%,78.81%,0.0
811,57.53%,79.14%,0.0
812,57.10%,78.90%,0.0
813,57.72%,79.30%,0.0
814,57.67%,79.16%,0.0
815,58.64%,79.47%,0.0
816,57.61%,79.02%,0.0
817,58.70%,80.03%,0.0
818,57.39%,79.14%,0.0
819,57.73%,79.17%,0.0
820,56.75%,79.45%,0.0
821,58.77%,79.58%,0.0
822,57.16%,78.81%,0.0
823,57.49%,79.17%,0.0
824,57.27%,78.92%,0.0
825,57.06%,78.70%,0.0
