epoch,test/accuracy_mean,test/accuracy_0,test/accuracy_1,test/accuracy,test/accuracytop5,general/checkpoint_saved
226,97.11%,97.13%,97.09%,97.39%,99.94%,0
227,97.02%,96.98%,97.05%,97.43%,99.98%,0
228,97.05%,97.04%,97.06%,97.50%,99.97%,1
229,97.05%,97.04%,97.05%,97.43%,99.96%,0
230,97.07%,97.06%,97.08%,97.42%,99.96%,0
231,97.05%,97.02%,97.08%,97.47%,99.96%,0
232,97.06%,97.10%,97.01%,97.43%,99.97%,0
233,97.07%,97.00%,97.14%,97.44%,99.96%,0
234,97.07%,97.03%,97.11%,97.43%,99.97%,0
235,97.15%,97.08%,97.22%,97.46%,99.96%,0
236,97.16%,97.07%,97.25%,97.45%,99.97%,0
237,97.12%,97.07%,97.17%,97.50%,99.95%,1
238,97.15%,97.18%,97.12%,97.49%,99.95%,0
239,97.17%,97.18%,97.16%,97.45%,99.97%,0
240,97.18%,97.22%,97.14%,97.53%,99.94%,1
241,97.12%,97.05%,97.19%,97.41%,99.96%,0
242,97.16%,97.11%,97.22%,97.52%,99.97%,0
243,97.10%,97.05%,97.16%,97.48%,99.94%,0
244,97.03%,96.93%,97.12%,97.47%,99.98%,0
245,97.16%,97.15%,97.16%,97.51%,99.97%,0
246,97.10%,97.10%,97.11%,97.43%,99.97%,0
247,97.22%,97.18%,97.25%,97.55%,99.96%,1
248,97.18%,97.18%,97.18%,97.49%,99.96%,0
249,97.12%,97.09%,97.15%,97.44%,99.97%,0
250,97.16%,97.06%,97.26%,97.49%,99.97%,0
251,97.11%,97.04%,97.18%,97.47%,99.97%,0
252,97.14%,97.10%,97.18%,97.48%,99.98%,0
253,97.19%,97.21%,97.16%,97.49%,99.96%,0
254,97.16%,97.16%,97.15%,97.51%,99.96%,0
255,97.19%,97.20%,97.19%,97.45%,99.97%,0
256,97.16%,97.09%,97.23%,97.46%,99.96%,0
257,97.18%,97.13%,97.23%,97.47%,99.97%,0
258,97.19%,97.10%,97.28%,97.54%,99.97%,0
259,97.22%,97.15%,97.28%,97.44%,99.98%,0
260,97.23%,97.16%,97.30%,97.40%,99.96%,0
261,97.10%,97.08%,97.13%,97.39%,99.95%,0
262,97.20%,97.19%,97.22%,97.48%,99.95%,0
263,97.18%,97.18%,97.18%,97.45%,99.96%,0
